Actuator Type,Bandwidth (Hz),Strain (%),Stress (MPa),Efficiency (%),Power Density (W/g)
DEA,100.0,200.0,8.0,85.0,0.2
DEA,6853.066666666667,40.0,3.142105263157895,75.15625,1667.1608875
DEA,100.0,117.0,3.142105263157895,90.0,1667.1608875
DEA,6853.066666666667,215.0,3.142105263157895,75.15625,1667.1608875
DEA,6853.066666666667,215.0,7.2,70.0,1667.1608875
DEA,6853.066666666667,63.0,3.0,90.0,1667.1608875
DEA,1000.0,79.0,7.2,90.0,1667.1608875
DEA,4.0,215.0,0.6,75.15625,0.03528
DEA,10.0,63.0,0.15,75.15625,0.02037
DEA,50000.0,120.0,0.3,80.0,0.5
DEA,50000.0,380.0,1.6,90.0,0.4
DEA,6853.066666666667,7.5,3.142105263157895,75.15625,1667.1608875
DEA,6853.066666666667,50.0,3.142105263157895,75.15625,1667.1608875
DEA,6853.066666666667,20.0,3.142105263157895,75.15625,1667.1608875
DEA,50.0,500.0,3.142105263157895,75.15625,1667.1608875
DEA,6853.066666666667,30.0,3.142105263157895,75.15625,1667.1608875
DEA,6853.066666666667,16.0,3.142105263157895,75.15625,1667.1608875
DEA,20.0,69.0,3.142105263157895,75.15625,0.3
DEA,55.0,2.5,3.142105263157895,75.15625,0.025
DEA,10.0,25.0,0.25,75.15625,20000.0
DEA,6853.066666666667,300.0,8.0,75.0,1667.1608875
DEA,6853.066666666667,25.0,1.0,75.0,0.1
DEA,6853.066666666667,200.0,3.142105263157895,52.5,1667.1608875
DEA,6853.066666666667,30.0,3.142105263157895,75.15625,1667.1608875
DEA,6853.066666666667,3.0,3.142105263157895,75.15625,1667.1608875
DEA,6853.066666666667,100.0,3.142105263157895,75.15625,1667.1608875
DEA,6853.066666666667,75.0,3.142105263157895,75.15625,1667.1608875
DEA,1400.0,100.0,0.6,10.0,0.75
DEA,7.0,200.0,2.4,60.0,3.4
DEA,10.0,5.0,0.6,75.15625,0.2
DEA,30.0,20.0,0.8,75.15625,1667.1608875
DEA,6853.066666666667,200.0,7.0,80.0,1667.1608875
DEA,6853.066666666667,63.0,3.0,90.0,1667.1608875
DEA,6853.066666666667,32.0,1.0,80.0,1667.1608875
DEA,6853.066666666667,63.0,3.142105263157895,75.15625,1667.1608875
